tauimval,taureval,revalues,imvalues
0.0,15.5,-0.9210969999999999,0.0
0.0,15.6,-0.9119799999999999,0.0
0.0,15.7,-0.9029870000000001,0.0
0.0,15.8,-0.894116,0.0
0.0,15.9,-0.8853639999999999,0.0
0.0,16.0,-0.8767299999999999,0.0
0.0,16.1,-0.8682110000000001,0.0
0.0,16.2,-0.8598049999999999,0.0
0.0,16.3,-0.85151,0.0
0.0,16.4,-0.843325,0.0
0.0,16.5,-0.8352459999999999,0.0
0.0,16.6,-0.8272729999999999,0.0
0.0,16.7,-0.8194030000000001,0.0
0.0,16.8,-0.811634,0.0
0.0,16.9,-0.8039649999999999,0.0
0.0,17.0,-0.7963939999999999,0.0
0.0,17.1,-0.7889189999999999,0.0
0.0,17.2,-0.781539,0.0
0.0,17.3,-0.774252,0.0
0.0,17.4,-0.7670560000000001,0.0
0.0,17.5,-0.759949,0.0
0.0,17.6,-0.752931,0.0
0.0,17.7,-0.746,0.0
0.0,17.8,-0.739153,0.0
0.0,17.9,-0.732391,0.0
0.0,18.0,-0.725711,0.0
0.0,18.1,-0.719112,0.0
0.0,18.2,-0.712593,0.0
0.0,18.3,-0.706152,0.0
0.0,18.4,-0.699788,0.0
0.0,18.5,-0.6935,0.0
0.0,18.6,-0.687286,0.0
0.0,18.7,-0.681146,0.0
0.0,18.8,-0.675078,0.0
0.0,18.9,-0.669082,0.0
0.0,19.0,-0.663155,0.0
0.0,19.1,-0.657296,0.0
0.0,19.2,-0.651506,0.0
0.0,19.3,-0.645782,0.0
0.0,19.4,-0.640124,0.0
0.0,19.5,-0.63453,0.0
0.0,19.6,-0.629,0.0
0.0,19.7,-0.623532,0.0
0.0,19.8,-0.6181260000000001,0.0
0.0,19.9,-0.612781,0.0
0.0,20.0,-0.607495,0.0
