Squark,tanb,MA,diagrams,who,ReFinAvg,ReFinErr,ReDivAvg,ReDivErr,ImFinAvg,ImFinErr,ImDivAvg,ImDivErr,msq1,msq2,Aq,lam,eps,TIME,alphaqs,mu
stop,7,1500,SUM,KIT,-1.9375938790761,0.050950793335294016,1.0333183278476989e-05,0.00012943798861069617,0.05045794635959988,0.048961774898600506,0.0009661423872813473,0.0008957539001200739,1353.486505829468,1650.3328559077859,2727.41176043,0.0001,1e-09,2240.20067501,,
sbot,7,1500,SUM,KIT,-1.8964112498328487,0.0553817546746366,7.150253636944992e-05,0.00010158318726952995,0.13030114048686006,0.04491907214217853,-2.589410779317457e-05,9.548394382404502e-05,1466.3725900507056,1501.63217184001,2782.50082213,0.0001,1e-09,1782.97597694,,
stop,7.5,1500,SUM,KIT,-1.9508539649811003,0.05149539050064999,-3.334401462151693e-05,0.00012952565107390195,0.1290648939529001,0.04726922325477182,0.0012144350991027792,0.0008951701559764527,1353.4823144945724,1650.3299171544122,2717.89267683,0.0001,1e-09,2239.85288882,,
sbot,7.5,1500,SUM,KIT,-2.0457285441814284,0.05665186843656311,7.150256936949706e-05,0.00010158318723423324,0.1255670840600399,0.04276897106710216,-4.112547980176961e-05,9.551630000091517e-05,1466.2758767226746,1501.9685385581204,2806.02452762,0.0001,1e-09,1783.72180605,,
stop,8,1500,SUM,KIT,-2.2359116276078,0.053013306932316866,-3.3343817621545035e-05,0.00012952565098665043,0.09286175144450004,0.049946096832466924,0.0012144375538219987,0.0008951701553529102,1353.4788680258885,1650.327500678929,2709.56322947,0.0001,1e-09,2221.80837488,,
sbot,8,1500,SUM,KIT,-2.2130708135810098,0.05909979653968452,7.150255636945158e-05,0.00010158318726550689,0.11364496324882001,0.04617115652130232,-2.58941880269664e-05,9.548394379671578e-05,1466.1691556806409,1502.3264519544978,2843.96561586,0.0001,1e-09,1784.13791299,,
stop,8.5,1500,SUM,KIT,-2.2974673438163,0.05558671590182565,-3.334386962150493e-05,0.00012952565107859213,0.13733613316140006,0.05109369485506493,0.0012144364855287257,0.0008951701554928078,1353.4760005856947,1650.3254901974067,2702.21352136,0.0001,1e-09,2223.97062707,,
sbot,8.5,1500,SUM,KIT,-2.32541487965892,0.05920700683517235,7.150255736942945e-05,0.00010158318728214957,0.1954383525289501,0.045954461496523984,-4.1125410516088235e-05,9.551630002784687e-05,1466.0533128562165,1502.7028552209586,2895.72123996,0.0001,1e-09,1783.52241707,,
stop,9,1500,SUM,KIT,-2.459214314706,0.06118591977497952,1.0333386478600383e-05,0.00012943798875985626,0.12986471405580002,0.05418234997121926,0.0009661405674903207,0.0008957538984752787,1353.4735898638721,1650.3237999479545,2695.68029173,0.0001,1e-09,2240.41652703,,
sbot,9,1500,SUM,KIT,-2.3963359625363,0.06266046691189628,7.150254536947287e-05,0.00010158318725608822,0.058844076920570136,0.05788502364407076,-4.1125193733968216e-05,9.551629996891513e-05,1465.9291541297116,1503.0950740170288,2960.59848284,0.0001,1e-09,1786.27737808,,
stop,9.5,1500,SUM,KIT,-2.5327343619263996,0.06312093586010747,-3.334379362140982e-05,0.0001295256510889122,0.057968223704900075,0.0555551683666088,-3.562374734145323e-05,0.0008947684868478435,1353.4715441055894,1650.3223655941324,2689.83464508,0.0001,1e-09,2232.98805094,,
sbot,9.5,1500,SUM,KIT,-2.517956734064669,0.06615898432753524,7.150254836951753e-05,0.0001015831872413654,0.03538311443662988,0.05443103346387157,-4.1125316960508285e-05,9.551629999952372e-05,1465.7974289590163,1503.5007943401058,3037.85728565,0.0001,1e-09,1789.27846098,,
stop,10,1500,SUM,KIT,-2.6895830074716,0.06017717678545815,-3.334377762154173e-05,0.0001295256509866497,0.016171502109200042,0.05763429666099905,0.000699045705580393,0.0008950117494498965,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,2241.15629697,,
sbot,10,1500,SUM,KIT,-2.510267145175081,0.07405969160582063,7.150253636944992e-05,0.00010158318723651936,0.25867349891162994,0.053984470776053936,-4.112528867289993e-05,9.551630004682838e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,1716.99641013,,
stop,11,1500,SUM,KIT,-2.9320560074267,0.06321673046955376,-3.334386562137137e-05,0.00012952565090596592,0.1420859787951999,0.06163924282660765,0.0006990473481553024,0.0008950117481378592,1353.4669731260235,1650.319160737219,2675.48573175,0.0001,1e-09,1997.553195,,
sbot,11,1500,SUM,KIT,-2.84688269793159,0.06687716005535116,7.150255536947371e-05,0.00010158318723688468,0.04985616345195998,0.06282634582948124,-4.112541882703045e-05,9.551630002128776e-05,1465.3637525829945,1504.7805134956855,3336.4739538000013,0.0001,1e-09,1720.810009,,
stop,12,1500,SUM,KIT,-3.1362243218425,0.06895022305469561,1.033324637844668e-05,0.00012943798849155842,0.20307220674500007,0.0623966326536692,0.0009661390242983851,0.0008957538986491517,1353.464821563571,1650.3176522187064,2667.91239997,0.0001,1e-09,1995.72935796,,
